Date,Open,High,Low,Close,Volume,Adj Close
09-02-2016,565,565,547,554.650024,302548,461.528137
10-02-2016,554,563.5,552.775024,555.075012,238626,461.881744
11-02-2016,557,557,536.174988,540.575012,244902,449.816284
12-02-2016,543,551.75,533.5,541.75,325762,450.793915
15-02-2016,545,549.974976,543.400024,545.674988,3022024,454.059998
16-02-2016,545,546,537.575012,540.5,581704,449.753754
17-02-2016,541,550.700012,538.5,547.724976,776758,455.765717
18-02-2016,548.5,563.224976,548.5,561.349976,181520,467.103241
19-02-2016,561.450012,566.625,557.325012,562,149802,467.644104
22-02-2016,566.5,566.5,557.150024,562.650024,214020,468.184967
23-02-2016,566.5,566.5,558.525024,561.974976,159470,467.623291
24-02-2016,561.5,571.974976,559.5,562.700012,410578,468.226593
25-02-2016,562.5,565.200012,551,555.625,579744,462.339447
26-02-2016,556.5,565.375,556.5,560.525024,321374,466.416809
29-02-2016,565,565,534.674988,541.875,431018,450.89798
01-03-2016,549,565.5,544.5,562.25,252388,467.852203
02-03-2016,566,581,562.5,578.125,397982,481.06189
03-03-2016,584.5,596.450012,577.575012,584.575012,394196,486.429047
04-03-2016,585,592.200012,580,585.275024,251948,487.011444
08-03-2016,585,595,574,581.775024,253412,484.099121
09-03-2016,573.5,591.900024,572,589.25,239256,490.319122
10-03-2016,582,582.049988,571.474976,572.974976,3155956,476.776459
11-03-2016,573,578.049988,569.5,571.25,158366,475.341095
14-03-2016,575,577.25,569,570.474976,149740,474.696228
15-03-2016,573,576.950012,564.5,567.174988,151886,471.950287
16-03-2016,569.974976,577.450012,566.025024,576,139678,479.293701
17-03-2016,578,584.950012,577,580.099976,134226,482.705292
18-03-2016,580.5,597.900024,580.5,595.099976,296614,495.186798
21-03-2016,593.5,599.5,590.099976,597.5,240222,497.18396
22-03-2016,597,597,586.150024,594.950012,213742,495.062073
23-03-2016,594.5,606,590.974976,603.875,319952,502.488556
28-03-2016,614.974976,617.325012,598.099976,602.349976,324504,501.219604
29-03-2016,600,608.75,595.799988,599.474976,229150,498.827301
30-03-2016,600,604.5,598,602.900024,157122,501.677338
31-03-2016,605,614.474976,600.299988,608.974976,227746,506.732361
01-04-2016,606,610.900024,598.5,602.950012,246596,501.718964
04-04-2016,606,624.950012,606,621.775024,238336,517.383362
05-04-2016,621.5,621.5,607.5,609.299988,493268,507.002808
06-04-2016,612.25,614,598.5,600.549988,206588,499.721924
07-04-2016,606,607.424988,582,590.825012,11664050,491.629639
08-04-2016,587.5,589,581.025024,583.674988,184382,485.679993
11-04-2016,583.5,593.625,575.700012,592.200012,295464,492.773743
12-04-2016,592.5,597.474976,589.299988,591.150024,340054,491.900055
13-04-2016,597,597.5,583.25,586.025024,1603664,487.635498
18-04-2016,622.775024,633.950012,616.724976,619.400024,1507724,515.407043
20-04-2016,622.5,624.974976,612.75,621.625,303850,517.258484
21-04-2016,625,625,609.5,613.200012,302828,510.248077
22-04-2016,610.5,614.5,605,606.924988,192608,505.026489
25-04-2016,607,612.224976,600.525024,608.525024,258466,506.35791
26-04-2016,607.5,619.5,604.5,616.474976,241440,512.973267
27-04-2016,614.950012,621,614.099976,620,138848,515.906372
28-04-2016,616.5,619.950012,605.025024,605.724976,1035318,504.027985
29-04-2016,606,612.200012,603,605.424988,187986,503.77832
02-05-2016,607,607,598.150024,600.325012,232966,499.534576
03-05-2016,600,606.025024,587.150024,590.375,277110,491.255219
04-05-2016,595.5,596.25,585.775024,594.775024,216096,494.916443
05-05-2016,595.5,599.5,590.924988,596.224976,1063040,496.122955
06-05-2016,596,596,588.349976,590.724976,147082,491.546387
09-05-2016,595,600.25,590.775024,599.575012,152538,498.910522
10-05-2016,600,608,598.200012,606.275024,148546,504.485779
11-05-2016,602.5,607.474976,596.5,600.525024,218318,499.701141
12-05-2016,604.474976,606.25,598.900024,605.099976,231536,503.507874
13-05-2016,603.5,604.5,596.325012,603.349976,165776,502.051727
16-05-2016,605,610.875,604,606.974976,161808,505.068115
17-05-2016,609,612.5,605,607.025024,123780,505.109711
18-05-2016,601.75,606.974976,599,604.875,132034,503.32074
19-05-2016,604.5,607.924988,600.549988,602.674988,83674,501.490051
20-05-2016,602,609.75,600.025024,600.875,98848,499.992249
23-05-2016,600.75,602.200012,592.775024,595.375,214492,495.41571
24-05-2016,595,597,589.25,594.099976,169494,494.354828
25-05-2016,598,606.424988,598,604.424988,108922,502.946198
26-05-2016,604,618.450012,604,615.825012,225748,512.432373
27-05-2016,615,628.424988,615,623.200012,339298,518.569153
30-05-2016,623.5,635,622.049988,631.724976,264358,525.66272
31-05-2016,634,634,619.5,624.924988,145928,520.004456
01-06-2016,620.5,633.75,620.5,628.224976,175354,522.750366
02-06-2016,626.5,637,626.5,630.125,211590,524.331421
03-06-2016,632,639,631.724976,633.224976,127028,526.910889
06-06-2016,635,638.625,630.025024,633.549988,98384,527.181396
07-06-2016,633.5,636,627.674988,628.599976,590880,523.0625
08-06-2016,630,632.474976,618,619.150024,404526,515.199097
09-06-2016,614.450012,614.450012,590.549988,592.724976,991190,504.829376
10-06-2016,587.75,595,585.450012,590.400024,495652,502.849274
13-06-2016,588,592.900024,583.125,591.275024,243026,503.594574
14-06-2016,591.549988,592.450012,583.875,587.599976,198806,500.464508
15-06-2016,590,595.575012,589.5,594.599976,253784,506.426392
16-06-2016,596.849976,596.849976,585.25,593.099976,322474,505.148834
17-06-2016,595,595.700012,587.549988,589.150024,206910,501.784668
